ACCESSION NO,AUTHOR,TITLE,Subtitle,YEAR,PAGE,PUBLISHER,SOURCE,BILL NO ,DATE,PRICE,,ISBN,Edition,Subject,Accompanying Material,Pages,Publisher,Year,
JR0095,,Enhanced Collins English Grammar and Composition 2,,2024,104p.,Harper Collins,"Hema Book World, banglore",,,356,,978-93-54898-04-4,,English,,104,Harper Collins,2024,
JR0096,,Enhanced Collins English Grammar and Composition 2; Teacher's Resourcebook ,,2021,128p.,Harper Collins,"Hema Book World, banglore",,,,,978-93-90191-64-2,,English,,128,Harper Collins,2021,
JR0097,,Enhanced Collins English Grammar and Composition 3,,2024,120p. ,Harper Collins,"Hema Book World, banglore",,,362,,978-93-54898-45-7,,English,,120,Harper Collins,2024,
JR0098,,Enhanced Collins English Grammar and Composition 3,,2024,120p. ,Harper Collins,"Hema Book World, banglore",,,362,,978-93-54898-45-7,,English,,120,Harper Collins,2024,
JR0099,,Revised Collins English Grammar and Composition 3; Teacher's Resourcebook,,2021,152p.,Harper Collins,"Hema Book World, banglore",,,,,978-93-90191-65-9,,English,,152,Harper Collins,2021,
JR0100,"Deva, Prachi",Enhanced Collins English Grammar and Composition 4,,2024,136p.,Harper Collins,"Hema Book World, banglore",,,392,,978-93-54898-05-1,,English,,136,Harper Collins,2024,
JR0101,,Enhanced Collins English Grammar and Composition 4,,2024,136p.,Harper Collins,,,,392,,978-93-54898-05-1,,English,,136,Harper Collins,2024,
JR0102,,Revised Collins English Grammar and Composition 4; Teacher's Resourcebook,,Revised;2021,160p.,Harper Collins,,,,,,978-93-90191-66-6,,English,,160,Harper Collins,2021,
JR0103,,Enhanced Collins English Grammar and Composition 5,,2024,152p.,Harper Collins,,,,482,,978-93-54898-10-5,,English,,152,Harper Collins,2024,
JR0104,,Enhanced Collins English Grammar and Composition 5,,2024,152p.,Harper Collins,,,,482,,978-93-54898-10-5,,English,,152,Harper Collins,2024,
JR0105,,Enhanced Collins English Grammar and Composition 5; Teachers Manual,,Revised;2021,176p.,Harper Collins,,,,,,978-93--90191-67-3,,English,,176,Harper Collins,2021,
JR0106,"Bose, Ruby",Revised Engaging English 3,,Revised;2022,144p.,Harper Collins,,,,542,,978-93-54890-20-8,,English,,144,Harper Collins,2022,
JR0107,"Bose, Ruby",Revised Engaging English 3,,Revised;2022,144p.,Harper Collins,,,,542,,978-93-54890-20-8,,English,,144,Harper Collins,2022,
